Maker,Bean_Origin/Bar_Name,Review_Year,Cocoa_Pct,Maker_Location,Rating,Bean_Type,Bean_Origin
Amedei,Nine,2007,0.75,Italy,4,Blend,Argentina
Amedei,Toscano Black,2007,0.63,Italy,3.5,Blend,Argentina
Amedei,Toscano Black,2006,0.7,Italy,5,Blend,Argentina
Amedei,Toscano Black,2006,0.66,Italy,4,Blend,Argentina
Bahen & Co.,Houseblend,2012,0.7,Australia,2.5,Blend,Argentina
Burnt Fork Bend,Blend,2014,0.72,U.S.A.,3.25,Blend,Argentina
C-Amaro,"Lago di Como, Blu",2014,0.7,Italy,3.5,Blend,Argentina
Chocovic,Maragda,2007,0.7,Spain,3,Blend,Argentina
Domori,Blend No. 1,2008,0.78,Italy,3.5,Blend,Argentina
Domori,Ilblend,2008,0.7,Italy,3.75,Blend,Argentina
Guittard,Complexite,2009,0.7,U.S.A.,3.5,Blend,Argentina
Guittard,Quetzalcoatl,2007,0.72,U.S.A.,3.5,Blend,Argentina
Guittard,Tsaranta,2006,0.61,U.S.A.,3.5,Blend,Argentina
Guittard,Semisweet,2006,0.61,U.S.A.,3,Blend,Argentina
Original Beans (Felchlin),"Grand Cru Blend No.1, 5 yr. Anniversary Ed",2014,0.8,Switzerland,3.25,Blend,Argentina
Patric,Signature Blend,2011,0.7,U.S.A.,3.75,Blend,Argentina
Ritual,"Mid Mountain, 2014",2015,0.7,U.S.A.,3.5,Blend,Argentina
Scharffen Berger,Bittersweet,2006,0.7,U.S.A.,3.5,Blend,Argentina
Scharffen Berger,Semisweet,2006,0.62,U.S.A.,3,Blend,Argentina
Solstice,Wasatch,2013,0.7,U.S.A.,3.5,Blend,Argentina
Raw Cocoa,Raw,2012,0.7,Poland,2.5,Criollo,Argentina
Habitual,Trinitario,2014,0.7,Canada,3.5,Trinitario,Argentina
Heirloom Cacao Preservation (Brasstown),"Maya Mtn, Moho R., Toledo D., 2015",2016,0.7,U.S.A.,3.25,Amazon,Colombia
Silvio Bessone,Maya Belize,2011,0.67,Italy,3,Criollo,Colombia
Shark Mountain,"Belize, 2013",2014,0.72,U.S.A.,3.25,Criollo,Colombia
Violet Sky,Moho River Valley,2015,0.77,U.S.A.,3,Criollo,Colombia
Ambrosia,Belize,2015,0.64,Canada,3,Trinitario,Colombia
Arete,Maya Mountain,2015,0.7,U.S.A.,3.75,Trinitario,Colombia
Belyzium,"Belize south, low fermentation",2016,0.83,Germany,2.75,Trinitario,Colombia
Belyzium,Belize south,2016,0.78,Germany,3,Trinitario,Colombia
Belyzium,Belize south,2016,0.83,Germany,3.5,Trinitario,Colombia
Bisou,Belize,2015,0.86,U.S.A.,3.25,Trinitario,Colombia
Bowler Man,Maya Mountain,2014,0.7,U.S.A.,2.75,Trinitario,Colombia
Brasstown aka It's Chocolate,Maya Mountain,2014,0.7,U.S.A.,3.75,Trinitario,Colombia
Brazen,Maya Mountain,2015,0.8,U.S.A.,3.25,Trinitario,Colombia
Burnt Fork Bend,Belize,2014,0.72,U.S.A.,3.25,Trinitario,Colombia
Castronovo,"Maya Mtn, Batch 454, Heirloom",2016,0.72,U.S.A.,4,Trinitario,Colombia
Choco Del Sol,Maya Mountain w/ nibs,2014,0.75,Germany,3,Trinitario,Colombia
Choco Del Sol,Maya Mountain,2014,0.82,Germany,3.25,Trinitario,Colombia
Dandelion,"Maya Mtn., Break Bar- Snark",2015,0.7,U.S.A.,3,Trinitario,Colombia
Dandelion,Maya Mountain,2014,0.7,U.S.A.,3.5,Trinitario,Colombia
Dick Taylor,Belize,2012,0.72,U.S.A.,2.75,Trinitario,Colombia
Ethereal,Belize,2014,0.8,U.S.A.,3,Trinitario,Colombia
Feitoria Cacao,Maya Mountain,2016,0.76,Portugal,2.75,Trinitario,Colombia
Isidro,Belize,2014,0.72,U.S.A.,3.25,Trinitario,Colombia
Izard,"Maya Mountain, Toledo, Batch 29",2015,0.7,U.S.A.,3.5,Trinitario,Colombia
Just Good Chocolate,Belize,2014,0.7,U.S.A.,3.5,Trinitario,Colombia
Kto,Belize,2014,0.72,U.S.A.,3,Trinitario,Colombia
Kto,Belize,2014,0.9,U.S.A.,3.25,Trinitario,Colombia
Mast Brothers,Moho River,2011,0.7,U.S.A.,3.5,Trinitario,Colombia
Maverick,Maya Mountain,2014,0.7,U.S.A.,3.25,Trinitario,Colombia
Meadowlands,Belize,2014,0.7,U.S.A.,3,Trinitario,Colombia
Middlebury,Maya Mountain,2015,0.8,U.S.A.,3.5,Trinitario,Colombia
Middlebury,Belize,2013,0.8,U.S.A.,3.25,Trinitario,Colombia
Moho,"Toledo District, w/ nibs",2013,0.73,U.S.A.,3.25,Trinitario,Colombia
Moho,Toledo District,2013,0.72,U.S.A.,3,Trinitario,Colombia
Moho,"Umoho R., Toledo District, San Felipe",2010,0.67,U.S.A.,2.75,Trinitario,Colombia
Noble Bean aka Jerjobo,Moho Valley,2014,0.75,U.S.A.,3,Trinitario,Colombia
organicfair,Maya Mountain,2013,0.74,Canada,2.75,Trinitario,Colombia
Palette de Bine,Maya Mtn,2016,0.72,Canada,3,Trinitario,Colombia
Ritual,"Toledo District, Maya",2013,0.75,U.S.A.,3.75,Trinitario,Colombia
Sublime Origins,Moho Valley,2013,0.78,U.S.A.,3.25,Trinitario,Colombia
Taza,Belize,2014,0.68,U.S.A.,3,Trinitario,Colombia
Terroir,Belize,2015,0.7,U.S.A.,3.75,Trinitario,Colombia
Zak's,"Belize, Batch 2",2015,0.7,U.S.A.,3.5,Trinitario,Colombia
La Chocolaterie Nanairo,"Belize, 2014 Harvest, Batch 9",2016,0.7,Japan,3,Trinitario,Colombia
Timo A. Meyer,"Belize, med roast",2016,0.72,Germany,3.75,Trinitario,Colombia
Heirloom Cacao Preservation (Guittard),"Alto Beni, Upper Rio Beni, 2014",2014,0.67,U.S.A.,3.5,Amazon,Bolivia
Heirloom Cacao Preservation (Zokoko),"Alto Beni, Upper Rio Beni, 2015",2016,0.68,U.S.A.,3.75,Amazon,Bolivia
Fruition,"Wild Bolivian, Batch 2",2016,0.74,U.S.A.,3.75,Beniano,Bolivia
Heirloom Cacao Preservation (Guittard),"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",2014,0.67,U.S.A.,3,Beniano,Bolivia
Heirloom Cacao Preservation (Zokoko),"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",2016,0.72,U.S.A.,4,Beniano,Bolivia
Lillie Belle,"Bolivia, Wild Thing",2012,0.68,U.S.A.,3.5,Criollo,Bolivia
Lillie Belle,Wild Thing,2012,0.68,U.S.A.,3.5,Criollo,Bolivia
